,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,11,13,6,3,1,9,13,11,28, 14,17
Alaska,3,10,6,7,7,9,4,14,5, 1,6
Arizona,10,2,2,3,2,8,7,22,14, 8,8
Arkansas,0,1,0,0,0,0,0,0,0, 0,0
California,85,75,74,117,126,79,61,90,54, 83,90
Colorado,0,0,2,0,1,0,0,0,0, 0,0
Connecticut,1788,3058,2738,2751,1964,2004,1653,2111,1719, 1873,1238
Delaware,482,715,772,984,656,767,507,400,341, 334,391
DC,62,116,71,53,34,N,N,33,35, 78,66
Florida,34,30,72,77,56,78,67,87,85, 116,132
Georgia,8,11,35,40,10,32,31,8,4, 8,4
Hawaii,0,0,0,0,0,0,0,0,0, 0,0
Idaho,7,9,5,4,6,3,0,14,8, 3,9
Illinois,110,149,108,136,135,194,204,337,233, 287,233
Indiana,26,55,42,61,62,81,64,101,100, 102,127
Iowa,97,123,85,77,68,72,92,153,110, 130,76
Kansas,4,8,16,18,7,11,9,18,12, 11,16
Kentucky,7,6,5,1,5,3,8,17,11, 12,16
Louisiana,1,2,3,0,2,1,3,0,0, 2,4
Maine,338,529,780,791,559,801,885,1127,1169, 993,1151
Maryland,1248,2576,1746,1466,1163,938,1113,801,957, 1249,1274
Massachusetts,1432,2988,3960,4019,2380,1801,3396,3816,3646, 2922,146
Michigan,55,51,76,81,76,89,80,114,93, 125,159
Minnesota,914,1238,1046,1063,1293,1185,911,1431,896, 1174,1304
Mississippi,3,1,1,0,0,3,1,0,2, 4,1
Missouri,5,10,6,3,4,5,1,1,7, 2,1
Montana,1,4,6,3,3,9,6,16,5, 2,12
Nebraska,11,7,8,4,7,7,5,7,6, 5,10
Nevada,4,15,9,10,2,3,10,11,4, 5,4
New Hampshire,617,896,1211,996,830,887,1002,1324,622, 436,691
New Jersey,2432,3134,3214,4598,3320,3398,2732,2785,2589, 3932,3332
New Mexico,3,5,4,1,3,2,1,0,0, 0,0
New York,4460,4165,5741,4134,2385,3118,2044,3512,2853, 3252,2623
North Carolina,31,53,16,21,21,18,27,39,27, 38,32
North Dakota,7,12,8,10,21,22,10,12,2, 15,9
Ohio,43,33,40,51,21,36,49,74,94, 112,122
Oklahoma,0,1,1,2,0,2,1,1,0, 0,0
Oregon,7,6,18,12,7,9,5,12,3, 3,13
Pennsylvania,3242,3994,3818,4950,3298,4739,4146,4981,6470, 7351,8988
Rhode Island,308,177,186,150,115,111,133,444,570, 564,535
South Carolina,20,31,14,25,19,24,35,33,20, 13,25
South Dakota,1,0,3,1,1,2,4,3,2, 5,8
Tennessee,15,31,7,10,6,5,2,11,7, 6,7
Texas,29,87,105,88,55,28,33,48,20, 18,31
Utah,5,7,3,6,3,6,2,10,5, 3,12
Vermont,105,138,330,323,271,476,386,674,442, 491,488
Virginia,357,959,886,698,911,756,805,925,976, 1102,976
Washington,8,12,22,15,12,17,13,11,8, 17,14
West Virginia,28,84,120,143,128,107,82,116,112, 243,297
Wisconsin,1466,1814,1493,1952,2505,2408,1368,1447,991, 1309,1504
Wyoming,1,3,1,1,0,1,3,1,2, 0,1
